,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
153,11984,DOGE,0.0,-0.0020839000000000005,433.95827703279997,0.0,433.95827703279997,1.0,2977.0,0.0035,2977.0,0.0035,entry_initial_normal_long
154,12265,DOGE,0.23815999999999934,-0.0021315320000000002,434.19430550079994,0.0,434.19430550079994,1.0,-2977.0,0.00358,0.0,0.0035,close_grid_long
155,12297,DOGE,0.0,-0.002085448,434.19222005279994,0.0,434.19222005279994,1.0,2929.0,0.00356,2929.0,0.00356,entry_initial_normal_long
156,12409,DOGE,0.0,-0.003742048,434.18847800479995,0.0,434.18847800479995,1.0,5392.0,0.00347,8321.0,0.003501680086528061,entry_grid_normal_long
157,12493,DOGE,0.049227782958781635,-0.0037090204,434.23399676735875,0.0,434.23399676735875,1.0,-5282.0,0.003511,3039.0,0.003501680086528061,close_trailing_long
158,12502,DOGE,0.26840421704122275,-0.002182002,434.5002189824,0.0,434.5002189824,1.0,-3039.0,0.00359,0.0,0.003501680086528061,close_grid_long
159,12569,DOGE,0.0,-0.00208714,434.49813184239997,0.0,434.49813184239997,1.0,2915.0,0.00358,2915.0,0.00358,entry_initial_normal_long
160,12620,DOGE,0.0,-0.0037461660000000004,434.4943856764,0.0,434.4943856764,1.0,5367.0,0.00349,8282.0,0.0035216771311277466,entry_grid_normal_long
161,12636,DOGE,0.05953564453030873,-0.0037153028,434.55020601813027,0.0,434.55020601813027,1.0,-5258.0,0.003533,3024.0,0.0035216771311277466,close_trailing_long
162,13036,DOGE,0.0,-0.003818962,434.54638705613024,0.0,434.54638705613024,1.0,5567.0,0.00343,8591.0,0.0034622700086753937,entry_grid_normal_long
163,13037,DOGE,0.0,-0.0106536576,434.5357333985302,0.0,434.5357333985302,1.0,15816.0,0.003368,24407.0,0.0034011820233756833,entry_grid_normal_long
164,13039,DOGE,0.18760245268233383,-0.01450955,434.7088263012126,0.0,434.7088263012126,1.0,-21275.0,0.00341,3132.0,0.0034011820233756833,close_trailing_long
165,13147,DOGE,0.0,-0.003828624,434.7049976772126,0.0,434.7049976772126,1.0,5766.0,0.00332,8898.0,0.0033485751963601524,entry_grid_normal_long
166,13179,DOGE,0.12818017760536793,-0.0038537272000000004,434.82932412761795,0.0,434.82932412761795,1.0,-5716.0,0.003371,3182.0,0.0033485751963601524,close_trailing_long
